name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified,sens_score_avg,sens_accessibility_summary,category_tags,AI Sensory Accessibility Summary,Geocode Status,Review Status,Last Verified Age
Amesbury Sports,amesbury-sports,Community Centre,,,,43.71,-79.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jacob Hespeler Stadium,jacob-hespeler-stadium,Park,,,,43.42,-80.32,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Kin Family Park,kin-family-park,Park,,,,43.92,-80.12,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
The Gables Park,the-gables-park-barrie,Park,,Barrie,250 Tollendal Mill Road,44.37,-79.66,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Black Creek Provincial Park,black-creek-provincial-park,Park,,,,44.97,-81.36,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Camilla Park,camilla-park,Park,,,,43.58,-79.60,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
The Village Green,the-village-green,Park,,,780 Village Green Boulevard,43.57,-79.57,https://www.mississauga.ca/events-and-attractions/parks/the-village-green/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Richard Jones Park,richard-jones-park,Park,,,,43.59,-79.61,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Neebin Park,neebin-park,Park,,,,43.64,-79.72,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Applewood Heights,applewood-heights,Park,,,3119 Constitution Boulevard,43.61,-79.59,https://www.mississauga.ca/events-and-attractions/parks/applewood-heights/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hawkins Glen Park,hawkins-glen-park,Park,,,2970 Rymal Road,43.60,-79.60,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Applewood Hills,applewood-hills,Park,,,1204 Bloor Street,43.62,-79.60,https://www.mississauga.ca/events-and-attractions/parks/applewood-hills/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Willowcreek Park,willowcreek-park,Park,,,,43.61,-79.58,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bethesda Common,bethesda-common,Park,,,3311 Fieldgate Drive,43.62,-79.59,https://www.mississauga.ca/events-and-attractions/parks/bethesda-common/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Burnhamdale Park,burnhamdale-park,Park,,,3316 Cardross Road,43.62,-79.59,https://www.mississauga.ca/events-and-attractions/parks/burnhamdale-park/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rathwood District Park,rathwood-district-park,Park,,,,43.62,-79.62,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Golden Orchard Park,golden-orchard-park,Park,,,,43.62,-79.61,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Shelby Park,shelby-park,Park,,,,43.61,-79.62,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Windrush Woods,windrush-woods,Park,,,2780 Gulfstream Way,43.60,-79.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Point Pelee National Park,point-pelee-national-park,Park,,,,41.83,-82.59,https://www.pc.gc.ca/en/pn-np/on/pelee,+1-888-773-8888,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Biener's Bush,biener-s-bush,Park,,,,44.45,-81.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lebovic Campus,lebovic-campus,Community Centre,,,9600 Bathurst Street,43.85,-79.46,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Godwick Green,godwick-green,Park,,,,43.62,-79.74,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Old Ridge Park,old-ridge-park,Park,,,,43.62,-79.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bluffer's Park,bluffer-s-park,Park,,,,43.71,-79.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Alex Robertson Park,alex-robertson-park,Park,,,,43.82,-79.07,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rotary Park,rotary-park,Park,,,,43.81,-79.09,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Beachfront Park,beachfront-park,Park,,,,43.81,-79.08,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dixie Woods Park,dixie-woods-park,Park,,,,43.62,-79.60,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Kennedy Park,kennedy-park,Park,,,3505 Golden Orchard Drive,43.62,-79.60,https://www.mississauga.ca/events-and-attractions/parks/kennedy-park/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hnatyshyn Park,hnatyshyn-park,Park,,,,46.49,-80.99,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Queen's Athletic Field,queen-s-athletic-field,Park,,,,46.49,-81.01,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Memorial Park,memorial-park,Park,,,,46.49,-80.99,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Tom Davies Square,tom-davies-square,Park,,,,46.49,-80.99,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Eyre Playground,eyre-playground,Park,,,,46.50,-80.96,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Eastern Avenue Park,eastern-avenue-park,Park,,,35 Eastern Avenue,44.03,-79.80,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Joan Sutherland Park,joan-sutherland-park,Park,,,,44.03,-79.80,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
O'Connor Park,o-connor-park,Park,,,,46.51,-80.99,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Percy Park,percy-park,Park,,,,46.51,-80.98,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Diorite Playground,diorite-playground,Park,,,,46.48,-81.07,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Victory Park,victory-park,Park,,,,46.51,-81.01,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ryan Heights Playground,ryan-heights-playground,Park,,,,46.51,-80.99,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Optimist Harbourview Park,optimist-harbourview-park,Park,,,,44.50,-80.23,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Adamsdale Playground,adamsdale-playground,Park,,,,46.50,-80.93,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bancroft Waterfront Park,bancroft-waterfront-park,Park,,,,46.49,-80.95,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bobbie Rosenfeld Park,bobbie-rosenfeld-park-toronto,Park,,Toronto,294 Bremner Boulevard,43.64,-79.39,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Meatbird Park,meatbird-park,Park,,,,46.45,-81.15,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fielding Memorial Park,fielding-memorial-park,Park,,,,46.43,-81.10,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Parkview Gardens Parkette,parkview-gardens-parkette-toronto,Park,,Toronto,34 Parkview Gardens,43.65,-79.47,https://www.toronto.ca/data/parks/prd/facilities/complex/271/index.html,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Blackfriar Park,blackfriar-park-etobicoke,Park,,Etobicoke,41 Bridlesburg Drive,43.70,-79.56,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
East End Playground,east-end-playground,Park,,,,46.49,-80.91,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lion's Can-Amera Park,lion-s-can-amera-park,Park,,,,43.39,-80.29,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Autumnwood Playground,autumnwood-playground,Park,,,,46.49,-80.92,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Grace Sprots Field,grace-sprots-field,Park,,,,46.49,-80.93,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Korpela Park,korpela-park,Park,,,,46.48,-80.93,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Weaver Park,weaver-park,Park,,,,43.42,-80.32,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Woodland Park,woodland-park,Park,,,,43.43,-80.31,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Forbes Park,forbes-park,Park,,,,43.43,-80.31,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ridgemount Playground,ridgemount-playground,Park,,,,46.49,-80.90,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dorset Tot Lot,dorset-tot-lot,Park,,,,46.49,-80.92,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Moonlight Beach Park,moonlight-beach-park,Park,,,,46.47,-80.91,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Camp Sudaca,camp-sudaca,Park,,,,46.47,-80.91,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bob Abate Community recreation Centre,bob-abate-community-recreation-centre,Community Centre,,,,43.66,-79.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Christie Pits Park,christie-pits-park-toronto,Park,,Toronto,750 Bloor Street West,43.66,-79.42,https://www.toronto.ca/data/parks/prd/facilities/complex/196/index.html,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Annie Pootoogook Park,annie-pootoogook-park,Park,,,250 Somerset Street East,45.42,-75.68,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Underpass Park,underpass-park,Park,,,,43.66,-79.35,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Garrigan Park,garrigan-park,Park,,,,44.22,-76.52,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Churchill Park,churchill-park,Park,,,,44.23,-76.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Memorial Centre,memorial-centre,Park,,,,44.24,-76.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
City Park,city-park,Park,,,,44.23,-76.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Oakridge Park,oakridge-park,Park,,,2 Oakridge Avenue,44.23,-76.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Compton Park,compton-park,Park,,,,44.23,-76.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Royal Ontario Museum,royal-ontario-museum-toronto,Museum,,Toronto,100 Queen's Park,43.67,-79.39,https://www.rom.on.ca/en,+1-416-586-8000,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Kingston Penitentiary,kingston-penitentiary-kingston,Museum,,Kingston,560 King Street West,44.22,-76.51,https://www.kingstonpentour.com/,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Max Jackson Memorial Park,max-jackson-memorial-park,Park,,,,44.25,-76.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ronald Lavallee Memorial Kiwanis Park,ronald-lavallee-memorial-kiwanis-park,Park,,,,44.25,-76.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Third Avenue Park,third-avenue-park,Park,,,,44.25,-76.51,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Burnett Park,burnett-park,Park,,,135 Sherway Drive,45.28,-75.76,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Weybridge Park,weybridge-park-ottawa,Park,,Ottawa,75 Flanders Street,45.27,-75.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Redpine Park,redpine-park,Park,,,11 Redpine Drive,45.35,-75.72,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Borden Farm Park,borden-farm-park,Park,,,,45.35,-75.72,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Raoul Wallenberg Park,raoul-wallenberg-park,Park,,,397 Viewmount Drive,45.35,-75.71,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gilbey Park,gilbey-park,Park,,,17 Gilbey Drive,45.36,-75.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Nepean Creek Park,nepean-creek-park,Park,,,,45.35,-75.71,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Victoria Park,victoria-park,Park,,,,44.23,-76.50,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Highgate Park,highgate-park,Park,,,,44.25,-76.61,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Comrade W. C. Warnica Memorial Park,comrade-w-c-warnica-memorial-park,Park,,,,44.24,-76.60,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Amherstview Centennial Park,amherstview-centennial-park,Park,,,,44.22,-76.64,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Eastside Park,eastside-park,Park,,,,44.23,-76.63,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Willie Pratt Sport Field,willie-pratt-sport-field,Park,,,,44.23,-76.64,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jorene Park,jorene-park,Park,,,,44.21,-76.57,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Trillium Ridge Park,trillium-ridge-park,Park,,,,44.25,-76.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Somerset Park,somerset-park,Park,,,,44.25,-76.58,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ashton Park,ashton-park,Park,,,,44.25,-76.58,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bexleygate Park,bexleygate-park,Park,,,,44.25,-76.56,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bayridge Park,bayridge-park,Park,,,,44.25,-76.59,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Cataraqui Woods Park,cataraqui-woods-park,Park,,,,44.26,-76.58,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Hardy Park,hardy-park,Park,,,,44.59,-75.69,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
McCollough Park,mccollough-park,Park,,,,44.24,-76.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Boucher Park,boucher-park,Park,,,,44.23,-76.48,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Richdale Park,richdale-park,Park,,,,44.26,-76.45,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Molly McGlynn Park,molly-mcglynn-park,Park,,,,44.27,-76.45,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Glen Elm,glen-elm,Park,,,,43.49,-80.54,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Douglas Library,douglas-library-kingston,Library,,Kingston,93 University Avenue,44.23,-76.50,https://library.queensu.ca/locations/douglas-library,+1 613-533-2610,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Stauffer Library,stauffer-library-kingston,Library,,Kingston,101 Union Street,44.23,-76.50,https://library.queensu.ca/locations/stauffer-library,+1 613-533-2524,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ben Franklin Park East,ben-franklin-park-east,Park,,,180 Knoxdale Road,45.33,-75.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Ben Franklin Park West,ben-franklin-park-west,Park,,,24 Gibbard Avenue,45.32,-75.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Arlington Woods Park,arlington-woods-park,Park,,,,45.32,-75.79,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bateman Park,bateman-park,Park,,,24 Bateman Drive,45.33,-75.77,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
